placekey,Median_Household_Income,Total_Population,case_rate,raw_visit_counts
12.0,21575.0,77394.33333333333,18.46,919.0
19.0,73246.0,60004.142857142855,9.42,2989.0
20.0,83951.0,94128.4857142857,20.2,6666.0
27.0,75036.0,62939.32142857143,21.74,7302.0
19.0,97463.0,75830.06451612903,13.39,5030.0
15.0,47027.0,59593.61111111111,22.92,641.0
6.0,46716.0,114047.64864864865,14.94,524.0
10.0,13435.0,42096.42857142857,15.36,1864.0
9.0,51590.0,53591.27777777778,9.27,1070.0
3.0,74069.0,51788.8125,19.02,1810.0
7.0,21410.0,64562.07142857143,30.68,795.0
6.0,36810.0,86053.13793103448,31.0,462.0
2.0,37511.0,73282.22857142857,11.1,892.0
5.0,16785.0,91249.30769230769,15.75,1733.0
3.0,28470.0,90942.0,15.17,320.0
4.0,19014.0,108156.26666666666,11.05,1329.0
4.0,5648.0,118327.4,14.85,287.0
2.0,33226.0,97608.5,14.01,392.0
4.0,34960.0,82511.6,13.69,387.0
7.0,35611.0,76582.89285714286,27.04,638.0
9.0,111344.0,60611.542372881355,26.28,3954.0
5.0,26783.0,65027.04347826087,14.87,495.0
2.0,23085.0,73432.64705882352,34.62,166.0
8.0,56265.0,66201.63888888889,37.9,1878.0
10.0,93231.0,60864.38181818182,20.73,4396.0
3.0,43278.0,80501.67647058824,16.91,258.0
14.0,72370.0,98009.8275862069,33.68,1928.0
12.0,77825.0,63700.27777777778,14.28,3005.0
5.0,40390.0,81934.33333333333,13.83,1627.0
3.0,37464.0,89611.79310344828,19.11,3220.0
13.0,101125.0,79379.91025641025,16.41,1286.0
4.0,21058.0,108996.31578947368,4.68,450.0
3.0,37807.0,87762.52777777778,7.87,281.0
5.0,40347.0,94310.23529411765,11.57,1675.0
6.0,24619.0,93247.40909090909,21.16,1346.0
3.0,17066.0,84208.92307692308,21.19,135.0
3.0,22157.0,71449.35294117648,34.1,558.0
8.0,30357.0,81522.1,19.33,1548.0
2.0,40220.0,73318.26666666666,13.3,169.0
4.0,51430.0,81231.0,18.55,240.0
5.0,40887.0,91653.09677419355,39.72,625.0
2.0,37463.0,79799.19230769231,22.47,2135.0
4.0,28876.0,96399.95833333333,27.79,1223.0
2.0,29630.0,80662.5,25.69,286.0
4.0,20045.0,106387.27777777778,14.88,1754.0
3.0,24476.0,90469.8947368421,21.21,2159.0
2.0,16255.0,79939.46666666666,21.53,290.0
6.0,24018.0,98215.52380952382,6.22,1813.0
8.0,62489.0,77103.19512195123,32.92,2324.0
8.0,36558.0,65523.68,16.43,1247.0
5.0,58392.0,77623.56410256411,13.48,1776.0
7.0,54583.0,75141.94117647059,20.54,799.0
4.0,20205.0,80756.4375,9.98,1166.0
10.0,62765.0,64188.48484848485,38.89,1921.0
10.0,21362.0,58847.3,19.02,1514.0
4.0,12727.0,69190.42857142857,0.0,246.0
5.0,19826.0,101618.0,33.69,3157.0
1075.0,24497.0,114473.8,7.24,38903.0
795.0,64237.0,50335.063829787236,10.62,21639.0
925.0,41607.0,140386.96875,20.38,20891.0
203.0,6278.0,188047.5,0.0,8062.0
142.0,6830.0,175644.0,22.84,4037.0
101.0,3260.0,200156.33333333334,59.14,2952.0
276.0,2149.0,243571.0,14.3,68319.0
438.0,49267.0,74524.23333333334,12.25,13204.0
473.0,25029.0,152838.0588235294,26.98,12487.0
776.0,37793.0,137434.125,14.07,16711.0
655.0,24644.0,116340.9,17.28,12084.0
886.0,14270.0,95838.72727272728,6.94,21528.0
573.0,24160.0,145088.13636363635,13.19,12897.0
824.0,37707.0,143567.0294117647,29.46,21773.0
535.0,11428.0,141507.5,12.81,14553.0
836.0,10184.0,146624.57142857142,0.0,18640.0
861.0,30875.0,118559.14814814815,18.38,31181.0
477.0,30798.0,145093.41666666666,15.26,18983.0
843.0,18458.0,157571.23529411765,16.18,21273.0
484.0,54108.0,142294.1219512195,1.62,15777.0
497.0,46506.0,143730.0606060606,5.14,13320.0
540.0,77550.0,109605.14285714286,17.46,19944.0
187.0,37874.0,73504.95238095238,12.93,9555.0
478.0,51255.0,78803.40625,14.2,19842.0
470.0,42322.0,159464.5625,10.56,12543.0
499.0,59201.0,51005.76315789474,23.01,23528.0
137.0,24836.0,59235.92857142857,23.92,6287.0
257.0,60524.0,59557.8,32.19,11326.0
278.0,54573.0,55634.54838709677,31.72,13856.0
302.0,46702.0,76533.74074074074,20.51,11986.0
206.0,40232.0,65039.083333333336,28.41,9992.0
270.0,33567.0,44390.608695652176,14.19,12567.0
745.0,23894.0,103623.4705882353,14.68,21265.0
115.0,21710.0,61325.066666666666,24.05,7858.0
342.0,18291.0,98528.66666666667,56.86,12717.0
118.0,26295.0,47037.92307692308,11.04,7921.0
198.0,45458.0,54731.0,45.49,8280.0
